City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Mahebourg,MU,2022-02-06 12:35:57,-20.4081,57.7,84.49,74,75,16.11
168,Pisco,PE,2022-02-06 12:35:01,-13.7,-76.2167,67.01,88,100,3.44
169,Kanigoro,ID,2022-02-06 12:35:58,-8.13,112.219,74.57,97,100,2.91
170,Aklavik,CA,2022-02-06 12:35:58,68.2191,-135.0107,-17.57,95,100,14.67
171,Chilca,PE,2022-02-06 12:35:58,-12.5211,-76.7372,68.85,86,98,1.97
172,Salalah,OM,2022-02-06 12:35:59,17.0151,54.0924,80.69,65,0,9.22
173,Sitka,US,2022-02-06 12:36:00,57.0531,-135.33,44.49,76,100,20.71
174,Bukama,CD,2022-02-06 12:36:01,-9.2,25.85,75.27,88,100,3.09
175,Maceio,BR,2022-02-06 12:36:01,-9.6658,-35.7353,85.44,61,40,3.44
176,Moree,AU,2022-02-06 12:36:02,-29.4667,149.85,69.82,52,17,12.66
177,Auburn Hills,US,2022-02-06 12:35:20,42.6875,-83.2341,16.59,87,0,4.0
178,Mackay,AU,2022-02-06 12:35:20,-21.15,149.2,78.78,65,100,21.85
179,Cockburn Town,TC,2022-02-06 12:31:21,21.4612,-71.1419,75.16,53,40,12.66
180,Lucapa,AO,2022-02-06 12:36:03,-8.4192,20.7447,80.4,61,45,3.2
181,Iwanai,JP,2022-02-06 12:36:04,42.9744,140.5089,24.26,86,100,9.35
182,Haines Junction,CA,2022-02-06 12:36:04,60.7522,-137.5108,30.15,93,100,6.91
183,Flinders,AU,2022-02-06 12:36:04,-34.5833,150.8552,68.38,78,86,7.0
184,Hami,CN,2022-02-06 12:37:05,42.8,93.45,29.46,29,98,15.48
185,Saint George,US,2022-02-06 12:37:05,37.1041,-113.5841,43.36,43,0,0.0
186,Bathsheba,BB,2022-02-06 12:37:06,13.2167,-59.5167,79.41,78,20,14.97
187,Mancio Lima,BR,2022-02-06 12:37:06,-7.6142,-72.8958,78.26,79,100,3.04
188,Erdenet,MN,2022-02-06 12:37:06,49.0333,104.0833,-1.8,90,26,4.14
189,Tommot,RU,2022-02-06 12:37:07,58.9564,126.2925,-20.24,99,70,2.13
190,Del Rio,US,2022-02-06 12:37:08,29.3627,-100.8968,35.71,56,0,8.05
191,San Cristobal,VE,2022-02-06 12:37:08,7.7669,-72.225,64.58,86,95,1.5
192,Nanortalik,GL,2022-02-06 12:37:09,60.1432,-45.2371,13.32,53,100,14.09
193,Dicabisagan,PH,2022-02-06 12:37:09,17.0818,122.4157,74.07,88,100,11.97
194,Ahuimanu,US,2022-02-06 12:37:09,21.4447,-157.8378,73.11,82,40,1.99
195,Ngawen,ID,2022-02-06 12:37:10,-7.0032,111.3129,77.32,88,100,5.59
196,Kodinsk,RU,2022-02-06 12:37:10,58.6881,99.1844,9.7,99,100,2.57
197,Lompoc,US,2022-02-06 12:37:11,34.6391,-120.4579,55.56,80,0,4.61
198,Wewak,PG,2022-02-06 12:37:11,-3.5534,143.6268,80.83,85,100,13.76
199,Saint-Georges,GD,2022-02-06 12:37:12,12.0564,-61.7485,82.08,74,20,5.75
200,Longyearbyen,SJ,2022-02-06 12:37:12,78.2186,15.6401,21.04,63,75,16.11
201,Torbay,CA,2022-02-06 12:35:31,47.6666,-52.7314,18.57,89,100,24.16
202,Mayumba,GA,2022-02-06 12:37:13,-3.432,10.6554,82.49,72,22,8.46
203,Ugoofaaru,MV,2022-02-06 12:37:13,5.6667,73.0,81.63,64,100,11.18
204,Dakoro,NE,2022-02-06 12:37:14,14.5106,6.765,83.55,7,0,17.0
205,Lukovetskiy,RU,2022-02-06 12:37:14,64.2956,41.9211,10.38,92,100,8.28
206,Priladozhskiy,RU,2022-02-06 12:37:15,59.85,31.4833,32.63,85,100,10.85
207,Mount Isa,AU,2022-02-06 12:37:15,-20.7333,139.5,83.97,45,75,6.91
208,Faya,SA,2022-02-06 12:37:15,18.3851,42.4509,66.31,52,4,10.74
209,Kruisfontein,ZA,2022-02-06 12:37:16,-34.0033,24.7314,93.88,26,99,10.63
210,Ahipara,NZ,2022-02-06 12:37:16,-35.1667,173.1667,72.14,98,100,7.45
211,Rize,TR,2022-02-06 12:37:17,40.9044,40.8949,24.19,89,100,5.23
212,Guerrero Negro,MX,2022-02-06 12:35:31,27.9769,-114.0611,55.0,52,0,2.19
213,Kieta,PG,2022-02-06 12:37:17,-6.2167,155.6333,81.43,82,100,8.43
214,Ozoir-La-Ferriere,FR,2022-02-06 12:37:18,48.767,2.6687,51.19,93,100,13.0
215,Nyuksenitsa,RU,2022-02-06 12:37:18,60.4128,44.2397,17.42,97,100,2.55
216,Zilupe,LV,2022-02-06 12:37:19,56.3862,28.1217,32.29,96,100,12.35
217,Goundam,ML,2022-02-06 12:37:19,16.4145,-3.6708,84.97,7,0,14.05
218,Worcester,US,2022-02-06 12:34:13,42.3334,-71.8328,9.46,83,0,1.01
219,Waipawa,NZ,2022-02-06 12:37:20,-41.4122,175.5153,56.44,77,100,11.16
220,Mbanza-Ngungu,CD,2022-02-06 12:37:20,-5.25,14.8667,81.0,68,24,5.12
221,Bichura,RU,2022-02-06 12:37:21,50.5881,107.6022,5.72,89,83,4.56
222,Karpathos,GR,2022-02-06 12:37:21,35.507,27.2132,64.36,36,20,9.22
223,Skibbereen,IE,2022-02-06 12:37:22,51.55,-9.2667,52.11,88,100,24.63
224,Klaksvik,FO,2022-02-06 12:37:22,62.2266,-6.589,32.92,64,98,31.72
225,Ternate,ID,2022-02-06 12:37:22,0.8,127.4,81.28,80,100,8.46
226,Wenatchee,US,2022-02-06 12:37:23,47.4235,-120.3103,35.22,100,100,0.0
